"id"	"sensor_id"	"condition_id"	"timestamp"	"value_calculated1"	"value_calculated2"	"value_raw1"	"value_raw2"	"status"	"remark"	"create_by"	"create_time"	"update_by"	"update_time"	"is_deleted"
"1447613"	"7255"		"5/1/2025 00:00:00"	"0.03828"		"3856.1"	"11.5"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447612"	"7255"		"6/1/2025 00:00:00"	"0.03675"		"3855.3"	"12"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447611"	"7255"		"7/1/2025 00:00:00"	"1.63777"		"3962.1"	"10.4"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447610"	"7255"		"8/1/2025 00:00:00"	"1.97464"		"3984.1"	"10.4"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447609"	"7255"		"9/1/2025 00:00:00"	"3.81024"		"4103"	"11.1"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447608"	"7255"		"10/1/2025 00:00:00"	"4.15262"		"4126.2"	"10.5"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447607"	"7255"		"11/1/2025 00:00:00"	"4.08738"		"4122.5"	"10.1"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447606"	"7255"		"12/1/2025 00:00:00"	"4.68118"		"4163.8"	"8.3"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447605"	"7255"		"13/1/2025 00:00:00"	"4.6818"		"4163"	"8.9"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447604"	"7255"		"14/1/2025 00:00:00"	"4.99355"		"4182.8"	"9.3"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447603"	"7255"		"15/1/2025 00:00:00"	"5.0891"		"4189.6"	"8.9"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447602"	"7255"		"16/1/2025 00:00:00"	"5.13166"		"4192.8"	"8.6"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447601"	"7255"		"17/1/2025 00:00:00"	"5.11635"		"4192.5"	"8.1"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447600"	"7255"		"18/1/2025 00:00:00"	"5.22292"		"4198.2"	"9"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447599"	"7255"		"19/1/2025 00:00:00"	"5.27498"		"4199.5"	"10.5"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447598"	"7255"		"20/1/2025 00:00:00"	"5.33685"		"4202.7"	"11.1"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447597"	"7255"		"21/1/2025 00:00:00"	"5.32428"		"4202.3"	"10.8"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447596"	"7255"		"22/1/2025 00:00:00"	"5.41984"		"4205.6"	"12.9"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447595"	"7255"		"24/1/2025 00:00:00"	"5.51691"		"4211.8"	"13"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447594"	"7255"		"26/1/2025 00:00:00"	"5.47374"		"4208.7"	"13.2"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447593"	"7255"		"28/1/2025 00:00:00"	"5.33685"		"4202.7"	"11.1"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447592"	"7255"		"30/1/2025 00:00:00"	"5.32428"		"4202.3"	"10.8"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447591"	"7255"		"1/2/2025 00:00:00"	"6.18023"		"4254"	"13.8"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447590"	"7255"		"3/2/2025 00:00:00"	"6.16706"		"4253.7"	"13.4"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447589"	"7255"		"5/2/2025 00:00:00"	"6.30456"		"4265.9"	"11.1"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447588"	"7255"		"7/2/2025 00:00:00"	"6.38449"		"4269.3"	"12.4"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447587"	"7255"		"9/2/2025 00:00:00"	"6.27271"		"4261.3"	"12.9"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447586"	"7255"		"11/2/2025 00:00:00"	"7.50931"		"4345"	"10.8"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447585"	"7255"		"13/2/2025 00:00:00"	"8.27062"		"4394.3"	"11.1"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447584"	"7255"		"15/2/2025 00:00:00"	"9.22763"		"4454.7"	"12.6"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447583"	"7255"		"17/2/2025 00:00:00"	"9.28948"		"4457.9"	"13.2"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447582"	"7255"		"19/2/2025 00:00:00"	"9.50569"		"4473"	"12.5"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447581"	"7255"		"21/2/2025 00:00:00"	"9.8741"		"4497.2"	"12.4"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447580"	"7255"		"23/2/2025 00:00:00"	"11.98225"		"4635.3"	"12.1"	"3"	"趋势性异常波动（跃变判别，当前值=11.98，均值=5.90，差值=6.08，阈值=5.33） 真异常"	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447579"	"7255"		"25/2/2025 00:00:00"	"11.97827"		"4634.9"	"12.2"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447578"	"7255"		"26/2/2025 00:00:00"	"12.42691"		"4666.3"	"10.7"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447577"	"7255"		"27/2/2025 00:00:00"	"12.32157"		"4659.7"	"10.5"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447576"	"7255"		"28/2/2025 00:00:00"	"12.49581"		"4670.8"	"10.7"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447575"	"7255"		"1/3/2025 00:00:00"	"12.58126"		"4675.4"	"11.4"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447574"	"7255"		"2/3/2025 00:00:00"	"14.14951"		"4767.6"	"18.7"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447573"	"7255"		"3/3/2025 00:00:00"	"14.22148"		"4771.6"	"19.2"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447572"	"7255"		"4/3/2025 00:00:00"	"12.61311"		"4678.6"	"10.6"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447571"	"7255"		"5/3/2025 00:00:00"	"12.73132"		"4686.6"	"10.4"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447570"	"7255"		"6/3/2025 00:00:00"	"14.05886"		"4768.4"	"13.9"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447569"	"7255"		"7/3/2025 00:00:00"	"13.98016"		"4763.4"	"13.8"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447568"	"7255"		"8/3/2025 00:00:00"	"14.10695"		"4767.2"	"17"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447567"	"7255"		"9/3/2025 00:00:00"	"14.08887"		"4766.3"	"16.8"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447566"	"7255"		"10/3/2025 00:00:00"	"14.2325"		"4775.4"	"17"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447565"	"7255"		"11/3/2025 00:00:00"	"14.20525"		"4773.2"	"17.3"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447564"	"7255"		"12/3/2025 00:00:00"	"14.46065"		"4790.3"	"17"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447563"	"7255"		"13/3/2025 00:00:00"	"14.306"		"4779.5"	"17.5"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447562"	"7255"		"15/3/2025 00:00:00"	"14.49526"		"4792.7"	"16.9"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447561"	"7255"		"17/3/2025 00:00:00"	"14.45728"		"4789.8"	"17.2"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447560"	"7255"		"19/3/2025 00:00:00"	"14.46249"		"4790.7"	"16.8"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447559"	"7255"		"21/3/2025 00:00:00"	"14.49587"		"4794"	"16"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447558"	"7255"		"23/3/2025 00:00:00"	"14.52925"		"4795.9"	"16.2"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447557"	"7255"		"25/3/2025 00:00:00"	"14.79966"		"4814.4"	"15.6"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447556"	"7255"		"27/3/2025 00:00:00"	"14.82844"		"4815.3"	"16.3"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447555"	"7255"		"29/3/2025 00:00:00"	"14.86121"		"4818"	"15.9"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447554"	"7255"		"31/3/2025 00:00:00"	"14.93839"		"4822.9"	"16"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447553"	"7255"		"2/4/2025 00:00:00"	"15.01831"		"4828.4"	"15.8"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
"1447552"	"7255"		"4/4/2025 00:00:00"	"14.95186"		"4824.2"	"15.7"	"1"	""	"script"	"3/11/2025 09:16:47"		"12/12/2025 00:13:36"	"0"
